observation_month,published_at,available_at,cape,source,source_url,source_sha256,downloaded_at
1881-03-01,2026-06-01T09:02:10,1881-03-15 00:00:00,18.27011914020499,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-04-01,2026-06-08T00:11:02,1881-04-15,17.95,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-04-01,2026-06-01T09:02:10,1881-04-15 00:00:00,17.95010827822289,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-05-01,2026-06-01T09:02:10,1881-05-13 00:00:00,18.869718693152592,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-05-01,2026-06-08T00:11:02,1881-05-13,18.88,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-06-01,2026-06-08T00:11:02,1881-06-15,19.04,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-06-01,2026-06-01T09:02:10,1881-06-15 00:00:00,19.02871073111578,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-07-01,2026-06-08T00:11:02,1881-07-15,18.11,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-07-01,2026-06-01T09:02:10,1881-07-15 00:00:00,18.116367187389734,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-08-01,2026-06-01T09:02:10,1881-08-15 00:00:00,17.286243553973446,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-08-01,2026-06-08T00:11:02,1881-08-15,17.28,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
