date,strategy_value,benchmark_value,strategy_flow,benchmark_flow,cash,cash_pct,spy_weight_actual,qqq_weight_actual,equity_exposure,multiplier,target_spy_weight,target_qqq_weight,regime,reason,cape,vix,rsi14,spy_close,qqq_close
2025-03-11,647624.0861086396,646763.8374103656,0.0,0.0,18500.0,0.02856595422687322,0.44946324480506394,0.5219708009680628,0.9714340457731268,0.5,0.85,0.15,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,26.92,28.333688848563142,555.92,471.6
2025-03-12,652982.0779868538,652138.5236633015,0.0,0.0,18500.0,0.02833155858892111,0.44814072491927115,0.5235277164918077,0.9716684414110789,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,24.23,31.042797487383154,558.87,476.92
2025-03-13,644929.603630038,643909.8490562849,2000.0,2000.0,19500.0,0.03023585813124826,0.4488487861392061,0.5209153557295457,0.9697641418687517,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,24.66,28.14884806043402,551.42,468.34
2025-03-14,659029.1092906529,658348.775239482,0.0,0.0,19500.0,0.029588981313722028,0.4483189135219158,0.5220921051643623,0.970411018686278,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,21.77,37.70981546942127,562.81,479.66
2025-03-17,663538.3471158822,663018.2691013818,0.0,0.0,19500.0,0.029387902123152596,0.44870588271028733,0.52190621516656,0.9706120978768474,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,20.51,40.934960788681984,567.15,482.77
2025-03-18,654416.6999545249,653768.8853131281,0.0,0.0,19500.0,0.029797528090825077,0.45004280605925384,0.520159665849921,0.970202471909175,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,21.7,37.946440919561766,561.02,474.54
2025-03-19,662179.2698295726,661706.399559648,0.0,0.0,19500.0,0.029448218765620347,0.44961096493306507,0.5209408163013146,0.9705517812343797,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,19.9,42.455934081841384,567.13,480.89
2025-03-20,662147.582395046,661624.3423685173,2000.0,2000.0,20500.0,0.030959865360905944,0.4494632341228358,0.5195769005162582,0.9690401346390941,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,19.8,41.58244322849168,565.49,479.26
2025-03-21,662487.0887989159,661841.4811044869,0.0,0.0,20500.0,0.030943999281806907,0.4480333321806056,0.5210226685375875,0.9690560007181931,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,19.28,40.751106159746556,563.98,480.84
2025-03-24,674851.88746503,674532.6618909806,0.0,0.0,20500.0,0.03037703588116924,0.4477009242287423,0.5219220398900883,0.9696229641188308,1.0,0.55,0.45,elevated,CAPE=34.8:elevated,34.79,17.48,48.2095156681467,574.08,490.66
2025-03-25,677588.1446806226,677278.3164086221,0.0,0.0,20500.0,0.03025436640374303,0.446964862817602,0.5227807707786549,0.969745633596257,1.0,0.55,0.45,elevated,CAPE=34.8:elevated,34.79,17.15,49.15137828508238,575.46,493.46
2025-03-26,667454.4671851273,666980.5734494191,0.0,0.0,20500.0,0.030713705590218267,0.44833393664264665,0.520952357767135,0.9692862944097818,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,18.33,44.78489793394174,568.59,484.38
2025-03-27,666677.0064223527,666183.998179805,2000.0,2000.0,21500.0,0.03224949982207626,0.4487880412731592,0.5189624589047647,0.9677505001779237,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,18.69,43.8625504157046,567.08,481.62
2025-03-28,651542.8037744735,650694.0680156962,0.0,0.0,21500.0,0.032998599440355506,0.4499648653182709,0.5170365352413737,0.9670014005596445,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,21.65,37.5619123873314,555.66,468.94
2025-03-31,653496.4190139784,652857.8459069364,0.0,0.0,21500.0,0.03289995074868208,0.4516311703618823,0.5154688788894357,0.9671000492513179,0.5,0.75,0.25,elevated,CAPE=34.8:elevated; below_sma200_cap,34.79,22.28,40.56494948435828,559.39,468.92
2025-04-01,657045.4722568889,656410.3720919047,0.0,0.0,21500.0,0.032722240556881915,0.450460413622546,0.516817345820572,0.9672777594431181,0.5,0.75,0.25,elevated,CAPE=32.6:elevated; below_sma200_cap,32.63,21.77,41.84098017918396,560.97,472.7
2025-04-02,661396.8543717436,660883.4380325883,0.0,0.0,21500.0,0.03250695835320037,0.4503287038039028,0.5171643378428968,0.9674930416467996,0.5,0.75,0.25,elevated,CAPE=32.6:elevated; below_sma200_cap,32.63,21.51,44.71306303354278,564.52,476.15
2025-04-03,630352.9162448711,628902.6418107954,2000.0,2000.0,51885.22608182154,0.0823113921498316,0.4546069205099448,0.46308168734022365,0.9176886078501685,2.0,0.85,0.15,elevated,"CAPE=32.6:elevated; panic_override:VIX=30.0,RSI=31.6,DD=-12.4%; monthly_risk_off_trim",32.63,30.02,31.559926572017204,536.7,450.66
2025-04-04,595446.7915837783,590963.1139780921,0.0,0.0,51885.22608182154,0.08713662885615092,0.45308257768260257,0.45978079346124645,0.912863371143849,2.0,0.85,0.15,elevated,"CAPE=32.6:elevated; panic_override:VIX=45.3,RSI=23.2,DD=-17.6%; monthly_risk_off_trim",32.63,45.31,23.243592945249574,505.28,422.67
2025-04-07,595626.9323672964,591147.9525079501,0.0,0.0,51885.22608182154,0.0871102753456861,0.4521387654995373,0.46075095915477654,0.9128897246543138,2.0,0.85,0.15,elevated,"CAPE=32.6:elevated; panic_override:VIX=47.0,RSI=23.1,DD=-17.7%; monthly_risk_off_trim",32.63,46.98,23.05617798818662,504.38,423.69
2025-04-08,586466.6864692803,581195.2282766957,0.0,0.0,51885.22608182154,0.08847088381812007,0.4520085236354502,0.45952059254642974,0.91152911618188,2.0,0.85,0.15,elevated,"CAPE=32.6:elevated; panic_override:VIX=52.3,RSI=21.4,DD=-19.0%; monthly_risk_off_trim",32.63,52.33,21.423289915485284,496.48,416.06
2025-04-09,646653.5592854884,646591.4434693668,0.0,0.0,51885.22608182154,0.0802365120191273,0.4529895436232269,0.46677394435764585,0.9197634879808728,0.5,0.85,0.15,elevated,CAPE=32.6:elevated; below_sma200_cap; monthly_risk_off_trim,32.63,33.62,47.733371954123115,548.62,466.0
